tile_id,x0,y0,x1,y1,area_px,Hmean,Smean,Vmean,label,intensity
0,43,150,47,161,33,37.303030303030305,83.57575757575758,246.6969696969697,pale-green,0.23702479338842977
1,309,556,316,563,25,36.04,99.08,134.68,pale-green,0.15742337662337663
2,790,704,800,713,47,95.38297872340425,77.40425531914893,96.04255319148936,bluish,0.0
3,738,705,808,829,1713,86.4944541739638,77.63689433741973,97.06538237011091,very-pale,0.01808280452763815
4,786,705,811,753,491,77.0122199592668,74.86354378818737,94.89816700610999,very-pale,0.06909461210886875
5,802,705,816,720,104,63.875,73.07692307692308,76.15384615384616,very-pale,0.0167832167832168
6,800,707,810,720,89,68.17977528089888,106.14606741573034,75.65168539325843,pale-green,0.19716036772216552
7,760,713,809,787,807,96.70136307311029,84.02354399008674,89.04832713754647,bluish,0.0
8,787,706,810,730,302,71.93377483443709,87.3841059602649,88.84437086092716,very-pale,0.12009202717811993
9,787,706,812,733,324,73.24382716049382,71.04012345679013,100.9320987654321,very-pale,0.06547939714606385
10,771,713,802,763,557,92.6463195691203,94.49730700179533,83.10771992818671,bluish,0.0
11,770,731,786,749,206,78.13592233009709,94.27184466019418,110.26699029126213,pale-green,0.21886899508258734
12,793,733,802,750,92,80.98913043478261,102.72826086956522,77.94565217391305,pale-green,0.17851778656126482
13,795,743,807,752,40,62.475,69.8,98.55,very-pale,0.05299999999999999
14,795,741,802,750,41,69.51219512195122,116.07317073170732,75.53658536585365,pale-green,0.25130820399113085
15,761,748,774,778,139,101.25179856115108,106.97841726618705,75.96402877697842,bluish,0.0
16,769,738,787,751,117,79.92307692307692,75.93162393162393,133.86324786324786,pale-green,0.18624930624930627
17,782,747,792,765,100,102.29,110.35,77.03,bluish,0.0
18,772,757,782,767,53,78.52830188679245,76.50943396226415,70.77358490566037,very-pale,0.03550600343053175
19,766,769,771,777,29,83.75862068965517,94.27586206896552,73.27586206896552,very-pale,0.1324137931034483
20,814,781,827,786,31,103.12903225806451,65.45161290322581,87.58064516129032,bluish,0.0
21,807,781,831,796,175,93.68,81.41714285714286,86.89714285714285,bluish,0.0
22,769,778,778,826,142,95.93661971830986,81.38732394366197,73.54225352112677,bluish,0.0
23,815,783,840,803,251,88.88446215139442,109.66533864541833,73.93625498007968,very-pale,0.043271278522274546
24,834,785,840,790,31,70.51612903225806,74.93548387096774,92.06451612903226,very-pale,0.061390867197318816
25,777,781,848,861,2149,86.22103303862262,77.42717543043275,88.79432294090275,very-pale,0.0131277005916373
26,757,751,784,826,457,82.66083150984683,94.00875273522976,84.35886214442013,very-pale,0.14341072494245363
27,760,783,778,824,192,92.953125,90.03645833333333,74.109375,bluish,0.0
28,756,791,766,808,77,53.246753246753244,85.85714285714286,97.6103896103896,very-pale,0.13680890538033397
29,835,788,846,807,106,101.33962264150944,94.24528301886792,75.12264150943396,bluish,0.0
30,775,789,831,888,1917,76.55972874282733,78.97287428273344,97.82629107981221,very-pale,0.09987521086112638
31,753,794,775,830,379,69.22427440633246,80.88390501319262,117.68601583113457,pale-green,0.16704108556351305
32,842,796,849,808,71,73.0,60.49295774647887,82.5774647887324,very-pale,0.0073641851106639985
33,739,796,776,829,502,73.21513944223108,77.33266932270917,118.94621513944223,pale-green,0.15127127852227454
34,844,798,849,807,35,66.08571428571429,63.628571428571426,74.77142857142857,very-pale,0.0
35,796,806,801,814,29,96.62068965517241,53.41379310344828,79.03448275862068,bluish,0.0
36,787,782,848,863,1835,86.38201634877385,88.91553133514986,79.47029972752044,very-pale,0.020635125092890762
37,835,810,846,825,67,96.83582089552239,80.97014925373135,97.16417910447761,bluish,0.0
38,738,756,782,832,652,76.91717791411043,81.81134969325153,99.51073619631902,very-pale,0.12017050434228346
39,836,812,843,821,38,97.39473684210526,68.23684210526316,122.44736842105263,bluish,0.0
40,737,819,756,846,220,97.25,81.88181818181818,81.4,bluish,0.0
41,737,819,756,845,222,97.16666666666667,73.5945945945946,91.509009009009,bluish,0.0
42,763,823,774,828,53,60.39622641509434,53.471698113207545,139.32075471698113,pale-green,0.16948787061994608
43,827,810,840,836,220,83.02727272727273,84.79545454545455,83.1590909090909,very-pale,0.08972845336481701
44,747,829,754,838,39,82.07692307692308,70.6923076923077,82.74358974358974,very-pale,0.011615051615051603
45,732,831,738,843,55,59.41818181818182,75.87272727272727,92.54545454545455,very-pale,0.06787721369539554
46,736,833,744,845,78,77.07692307692308,87.46153846153847,83.1923076923077,very-pale,0.1043656343656344
47,797,781,842,853,1069,88.53601496725912,75.22263797942001,96.45182413470533,very-pale,0.01509846561296514
48,735,834,742,844,62,73.29032258064517,94.45161290322581,86.64516129032258,pale-green,0.15235860913280266
49,738,833,753,847,118,85.6864406779661,89.92372881355932,76.77118644067797,very-pale,0.021734976887519263
50,824,835,833,842,54,100.22222222222223,57.05555555555556,86.42592592592592,bluish,0.0
51,1064,836,1079,855,150,65.76666666666667,53.32666666666667,137.95333333333335,pale-green,0.16558095238095244
52,732,833,737,843,25,50.0,59.2,111.08,very-pale,0.08879999999999999
53,772,836,802,887,665,63.17744360902255,82.4,112.67368421052632,pale-green,0.1609897470950103
54,776,828,823,856,571,78.09457092819615,68.1260945709282,110.28371278458845,very-pale,0.0865248936702527
55,731,833,736,843,28,48.142857142857146,72.75,86.39285714285714,very-pale,0.03326530612244897
56,1018,841,1035,854,48,89.29166666666667,56.479166666666664,110.72916666666667,very-pale,0.017559523809523813
57,1016,842,1035,858,153,72.18300653594771,71.16339869281046,123.15032679738562,very-pale,0.12963245904422377
58,773,836,809,887,842,66.74940617577197,76.50712589073635,119.25890736342043,very-pale,0.1476617207021008
59,951,850,966,866,150,56.77333333333333,55.14666666666667,110.26666666666667,very-pale,0.08647619047619048
60,1048,851,1060,855,32,83.78125,45.875,162.21875,pale-green,0.2349107142857143
61,1072,849,1079,857,27,70.22222222222223,85.74074074074075,76.22222222222223,very-pale,0.0858585858585859
62,1059,846,1072,859,81,53.629629629629626,47.098765432098766,144.44444444444446,pale-green,0.18412698412698417
63,795,852,804,860,31,67.96774193548387,144.67741935483872,59.516129032258064,pale-green,0.40733137829912025
64,999,845,1040,905,802,62.57356608478803,64.8790523690773,139.47256857855362,pale-green,0.16992162451015322
65,1046,852,1061,885,292,68.07191780821918,65.04452054794521,145.65753424657535,pale-green,0.1875929549902153
66,807,853,824,863,96,97.85416666666667,76.73958333333333,72.55208333333333,bluish,0.0
67,1045,836,1079,865,267,63.10486891385768,55.0936329588015,140.73033707865167,pale-green,0.17351524879614766
68,775,837,804,886,579,64.23661485319516,91.61830742659758,108.47150259067358,pale-green,0.19926519076778146
69,1043,858,1047,865,27,47.370370370370374,60.51851851851852,98.29629629629629,very-pale,0.052275132275132266
70,945,851,971,899,495,62.36767676767677,56.32525252525252,124.72121212121212,very-pale,0.12777489177489176
71,825,861,842,880,88,85.0340909090909,56.01136363636363,85.8409090909091,very-pale,0.0033376623376623394
72,835,861,842,871,42,89.5952380952381,50.95238095238095,107.47619047619048,very-pale,0.015700680272108847
73,1000,855,1030,903,480,56.770833333333336,65.29166666666667,140.70416666666668,pale-green,0.17344047619047623
74,944,861,974,885,410,70.54634146341463,58.673170731707316,132.45609756097562,very-pale,0.14987456445993036
75,1028,866,1040,875,84,52.666666666666664,57.01190476190476,137.8095238095238,pale-green,0.16517006802721085
76,802,863,846,952,1379,74.35097897026832,64.80275562001451,117.01522842639594,very-pale,0.1057577955039884
77,802,869,847,942,1229,65.49227013832385,64.38567941415785,129.63466232709519,very-pale,0.14181332093455767
78,911,872,927,879,59,95.77966101694915,62.33898305084746,108.28813559322033,bluish,0.0
79,1047,865,1058,884,75,75.88,54.44,137.72,pale-green,0.1649142857142857
80,1069,872,1081,880,69,68.20289855072464,60.82608695652174,124.33333333333333,very-pale,0.12666666666666668
